"rgb","semantic_classification","auto_decision_confidence","keep_rgb_source","keep_source_id","keep_source_name","recolor_source","recolor_subset","recolor_source_id","recolor_source_name","modlu_id","modlu_name","orijinal_id","orijinal_name","old_shared_rgb","new_rgb","assignment_basis","assignment_notes"
"51,0,178","barony_vs_nonbarony","high","orijinal","9301","Karub","modlu","modlu_kalan","9301","Mountains","9301","Mountains","9301","Karub","51,0,178","1,5,27","source_semantic_auto_decision","Barony province tarafi orijinal; nonbarony/modlu taraf recolor olmali."
"177,24,32","barony_vs_nonbarony","high","modlu","9664","Stablo","orijinal","orijinal_dogu","9664","PLACEHOLDER_REGION_KOREA","9664","Stablo","9664","PLACEHOLDER_REGION_KOREA","177,24,32","1,5,28","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,27,160","barony_vs_nonbarony","high","modlu","9665","Laar","orijinal","orijinal_dogu","9665","IMPASSABLE CENTRAL GOBI 1","9665","Laar","9665","IMPASSABLE CENTRAL GOBI 1","9,27,160","1,5,29","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,30,33","barony_vs_nonbarony","high","modlu","9666","Eutin","orijinal","orijinal_dogu","9666","","9666","Eutin","9666","","51,30,33","1,5,30","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,36,34","barony_vs_nonbarony","high","modlu","9668","Crivitz","orijinal","orijinal_dogu","9668","IMPASSABLE CENTRAL GOBI 3","9668","Crivitz","9668","IMPASSABLE CENTRAL GOBI 3","135,36,34","1,5,31","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,45,163","barony_vs_nonbarony","high","modlu","9671","Kyburg","orijinal","orijinal_dogu","9671","","9671","Kyburg","9671","","51,45,163","1,5,32","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,48,36","barony_vs_nonbarony","high","modlu","9672","Stauffen","orijinal","orijinal_dogu","9672","PLACEHOLDER_REGION_SOUTHEAST_COAST","9672","Stauffen","9672","PLACEHOLDER_REGION_SOUTHEAST_COAST","93,48,36","1,5,33","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,60,38","different_barony","medium","modlu","9676","Eberstein","orijinal","orijinal_dogu","9676","Marakele","9676","Eberstein","9676","Marakele","51,60,38","1,5,34","source_semantic_auto_decision","Iki taraf da farkli barony; daha buyuk piksel alani korundu."
"51,75,168","different_barony","medium","modlu","9681","Blamont","orijinal","orijinal_dogu","9681","Siantan Island","9681","Blamont","9681","Siantan Island","51,75,168","1,5,35","source_semantic_auto_decision","Iki taraf da farkli barony; daha buyuk piksel alani korundu."
"51,135,178","barony_vs_nonbarony","high","modlu","9701","Sirmione","orijinal","orijinal_dogu","9803","Lingnan_Leizhou_Zhanjiang","9701","Sirmione","9803","Lingnan_Leizhou_Zhanjiang","51,135,178","1,5,36","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,183,186","barony_vs_nonbarony","high","modlu","9717","Martellago","orijinal","orijinal_dogu","9757","Lingnan_Lianzhou_Hepu","9717","Martellago","9757","Lingnan_Lianzhou_Hepu","93,183,186","1,5,37","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,186,59","barony_vs_nonbarony","high","modlu","9718","Concordia","orijinal","orijinal_dogu","9815","Lingnan_Qinzhou_Lingshan","9718","Concordia","9815","Lingnan_Qinzhou_Lingshan","135,186,59","1,5,38","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,201,189","barony_vs_nonbarony","high","modlu","9723","Caminate","orijinal","orijinal_dogu","9816","Lingnan_Qinzhou_Gusendong","9723","Caminate","9816","Lingnan_Qinzhou_Gusendong","135,201,189","1,5,39","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,9,65","barony_vs_nonbarony","high","modlu","9730","Nerola","orijinal","orijinal_dogu","9846","Taiwan_Chiayi","9730","Nerola","9846","Taiwan_Chiayi","9,9,65","1,5,40","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"177,21,67","barony_vs_nonbarony","high","modlu","9734","Aderno","orijinal","orijinal_dogu","9850","Taiwan_Miaoli","9734","Aderno","9850","Taiwan_Miaoli","177,21,67","1,5,41","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,24,195","barony_vs_nonbarony","high","modlu","9735","PaternoSicily","orijinal","orijinal_dogu","9851","Taiwan_Taipei","9735","PaternoSicily","9851","Taiwan_Taipei","9,24,195","1,5,42","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,57,73","barony_vs_nonbarony","high","modlu","9746","Andria","orijinal","orijinal_dogu","9785","Lingnan_Nanning_Fu_Yongchun","9746","Andria","9785","Lingnan_Nanning_Fu_Yongchun","51,57,73","1,5,43","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,105,81","barony_vs_nonbarony","high","modlu","9762","Nocera","orijinal","orijinal_dogu","9781","Lingnan_Nanning_Fu_Nanning","9762","Nocera","9781","Lingnan_Nanning_Fu_Nanning","93,105,81","1,5,44","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,57,136","barony_vs_nonbarony","high","modlu","9817","Colonsay","orijinal","orijinal_dogu","9838","Lingnan_Guishunzhou_Napo","9817","Colonsay","9838","Lingnan_Guishunzhou_Napo","93,57,136","1,5,45","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,69,138","barony_vs_nonbarony","high","modlu","9821","Moluag","orijinal","orijinal_dogu","9843","Lingnan_Siming_Siming","9821","Moluag","9843","Lingnan_Siming_Siming","51,69,138","1,5,46","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,75,139","barony_vs_nonbarony","high","modlu","9823","Madytos","orijinal","orijinal_dogu","9845","Lingnan_Siming_Silingzhou","9823","Madytos","9845","Lingnan_Siming_Silingzhou","135,75,139","1,5,47","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,111,145","barony_vs_nonbarony","high","modlu","9835","Mangup","orijinal","orijinal_dogu","9783","Lingnan_Nanning_Fu_Shangsi","9835","Mangup","9783","Lingnan_Nanning_Fu_Shangsi","9,111,145","1,5,48","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,114,18","barony_vs_nonbarony","high","modlu","9836","Yamboli","orijinal","orijinal_dogu","9784","Lingnan_Nanning_Fu_Wuxuzhen","9836","Yamboli","9784","Lingnan_Nanning_Fu_Wuxuzhen","51,114,18","1,5,49","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,180,29","barony_vs_nonbarony","high","modlu","9858","Babruysk","orijinal","orijinal_dogu","9858","Goryeo_Donggye_Myeongju","9858","Babruysk","9858","Goryeo_Donggye_Myeongju","135,180,29","1,5,50","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"177,183,157","barony_vs_nonbarony","high","modlu","9859","Byblos","orijinal","orijinal_dogu","9860","Goryeo_Donggye_Ingnyeong","9859","Byblos","9860","Goryeo_Donggye_Ingnyeong","177,183,157","1,5,51","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,189,158","barony_vs_nonbarony","high","modlu","9861","Gibelin","orijinal","orijinal_dogu","9862","Goryeo_Donggye_Goseong","9861","Gibelin","9862","Goryeo_Donggye_Goseong","51,189,158","1,5,52","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,192,31","barony_vs_nonbarony","high","modlu","9862","Ibelin","orijinal","orijinal_dogu","9863","Goryeo_Donggye_Tongcheon","9862","Ibelin","9863","Goryeo_Donggye_Tongcheon","93,192,31","1,5,53","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,195,159","barony_vs_nonbarony","high","modlu","9863","Qula","orijinal","orijinal_dogu","9864","Goryeo_Donggye_Heupgok","9863","Qula","9864","Goryeo_Donggye_Heupgok","135,195,159","1,5,54","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"177,198,32","barony_vs_nonbarony","high","modlu","9864","JerLod","orijinal","orijinal_dogu","9859","Goryeo_Donggye_Samcheok","9864","JerLod","9859","Goryeo_Donggye_Samcheok","177,198,32","1,5,55","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,201,160","barony_vs_nonbarony","high","modlu","9865","Caymont","orijinal","orijinal_dogu","9865","Goryeo_Donggye_Deungju","9865","Caymont","9865","Goryeo_Donggye_Deungju","9,201,160","1,5,56","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,204,33","barony_vs_nonbarony","high","modlu","9866","Bethsan","orijinal","orijinal_dogu","9866","Goryeo_Donggye_Uiju","9866","Bethsan","9866","Goryeo_Donggye_Uiju","51,204,33","1,5,57","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,207,161","barony_vs_nonbarony","high","modlu","9867","Jericho","orijinal","orijinal_dogu","9867","Goryeo_Donggye_Hwaju","9867","Jericho","9867","Goryeo_Donggye_Hwaju","93,207,161","1,5,58","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,210,34","barony_vs_nonbarony","high","modlu","9868","TowerDavid","orijinal","orijinal_dogu","9870","Goryeo_Gyoju_Inje","9868","TowerDavid","9870","Goryeo_Gyoju_Inje","135,210,34","1,5,59","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"177,0,162","barony_vs_nonbarony","high","modlu","9869","Bethlehem","orijinal","orijinal_dogu","9872","Goryeo_Gyoju_Yanggu","9869","Bethlehem","9872","Goryeo_Gyoju_Yanggu","177,0,162","1,5,60","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,3,35","barony_vs_nonbarony","high","modlu","9870","Belfort","orijinal","orijinal_dogu","9873","Goryeo_Gyoju_Gyoju","9870","Belfort","9873","Goryeo_Gyoju_Gyoju","9,3,35","1,5,61","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,9,36","barony_vs_nonbarony","high","modlu","9872","Bikfaiya","orijinal","orijinal_dogu","9875","Goryeo_Gyoju_Nangcheon","9872","Bikfaiya","9875","Goryeo_Gyoju_Nangcheon","93,9,36","1,5,62","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"177,15,37","barony_vs_nonbarony","high","modlu","9874","Amioun","orijinal","orijinal_dogu","9882","Goryeo_Gyoju_Hongcheon","9874","Amioun","9882","Goryeo_Gyoju_Hongcheon","177,15,37","1,5,63","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,27,39","barony_vs_nonbarony","high","modlu","9878","Kantara","orijinal","orijinal_dogu","9881","Goryeo_Gyoju_Hoengcheon","9878","Kantara","9881","Goryeo_Gyoju_Hoengcheon","135,27,39","1,5,64","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,39,41","barony_vs_nonbarony","high","modlu","9882","Martvili","orijinal","orijinal_dogu","9878","Goryeo_Gyoju_Anhyeop","9882","Martvili","9878","Goryeo_Gyoju_Anhyeop","93,39,41","1,5,65","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,51,43","barony_vs_nonbarony","high","modlu","9886","Artvini","orijinal","orijinal_dogu","9886","Goryeo_Bukgye_Maengju","9886","Artvini","9886","Goryeo_Bukgye_Maengju","51,51,43","1,5,66","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,63,45","barony_vs_nonbarony","high","modlu","9890","Akhalkalaki","orijinal","orijinal_dogu","9887","Goryeo_Bukgye_Jangjeong","9890","Akhalkalaki","9887","Goryeo_Bukgye_Jangjeong","9,63,45","1,5,67","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"177,75,47","barony_vs_nonbarony","high","modlu","9894","Odzrakhe","orijinal","orijinal_dogu","9890","Goryeo_Bukgye_Cheolju","9894","Odzrakhe","9890","Goryeo_Bukgye_Cheolju","177,75,47","1,5,68","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,87,49","barony_vs_nonbarony","high","modlu","9898","Keselo","orijinal","orijinal_dogu","9894","Goryeo_Bukgye_Taeju","9898","Keselo","9894","Goryeo_Bukgye_Taeju","135,87,49","1,5,69","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,99,51","barony_vs_nonbarony","high","modlu","9902","Kaghankatuyk","orijinal","orijinal_dogu","9897","Goryeo_Bukgye_Samhwa","9902","Kaghankatuyk","9897","Goryeo_Bukgye_Samhwa","93,99,51","1,5,70","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,111,53","barony_vs_nonbarony","high","modlu","9906","Vararakn","orijinal","orijinal_dogu","9901","Goryeo_Bukgye_Jaju","9906","Vararakn","9901","Goryeo_Bukgye_Jaju","51,111,53","1,5,71","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,129,56","barony_vs_nonbarony","high","modlu","9912","TatevMon","orijinal","orijinal_dogu","9907","Goryeo_Gaeseong_Chuiljeon","9912","TatevMon","9907","Goryeo_Gaeseong_Chuiljeon","93,129,56","1,5,72","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"177,135,57","barony_vs_nonbarony","high","modlu","9914","Mahkanaberd","orijinal","orijinal_dogu","9908","Goryeo_Seohae_Tosan","9914","Mahkanaberd","9908","Goryeo_Seohae_Tosan","177,135,57","1,5,73","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,138,185","barony_vs_nonbarony","high","modlu","9915","Haghpat","orijinal","orijinal_dogu","9909","Goryeo_Seohae_Suan","9915","Haghpat","9909","Goryeo_Seohae_Suan","9,138,185","1,5,74","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,144,186","barony_vs_nonbarony","high","modlu","9917","Bjni","orijinal","orijinal_dogu","9912","Goryeo_Seohae_Hwangju","9917","Bjni","9912","Goryeo_Seohae_Hwangju","93,144,186","1,5,75","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,147,59","barony_vs_nonbarony","high","modlu","9918","Ashtarak","orijinal","orijinal_dogu","9913","Goryeo_Seohae_Anak","9918","Ashtarak","9913","Goryeo_Seohae_Anak","135,147,59","1,5,76","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"177,150,187","barony_vs_nonbarony","high","modlu","9919","Amberd","orijinal","orijinal_dogu","9914","Goryeo_Seohae_Bongju","9919","Amberd","9914","Goryeo_Seohae_Bongju","177,150,187","1,5,77","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,153,60","barony_vs_nonbarony","high","modlu","9920","Shirakavan","orijinal","orijinal_dogu","9915","Goryeo_Seohae_Dongju","9920","Shirakavan","9915","Goryeo_Seohae_Dongju","9,153,60","1,5,78","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,156,188","barony_vs_nonbarony","high","modlu","9921","Tekor","orijinal","orijinal_dogu","9910","Goryeo_Seohae_Sineun","9921","Tekor","9910","Goryeo_Seohae_Sineun","51,156,188","1,5,79","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,162,189","barony_vs_nonbarony","high","modlu","9923","Tercan","orijinal","orijinal_dogu","9916","Goryeo_Seohae_Pungju","9923","Tercan","9916","Goryeo_Seohae_Pungju","135,162,189","1,5,80","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,168,190","barony_vs_nonbarony","high","modlu","9925","Varzahan","orijinal","orijinal_dogu","9918","Goryeo_Seohae_Cheongsong","9925","Varzahan","9918","Goryeo_Seohae_Cheongsong","9,168,190","1,5,81","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,171,63","barony_vs_nonbarony","high","modlu","9926","Tralles","orijinal","orijinal_dogu","9919","Goryeo_Seohae_Haeju","9926","Tralles","9919","Goryeo_Seohae_Haeju","51,171,63","1,5,82","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"178,192,2","different_default_map_class","medium","modlu","10004","Pongyin Co","orijinal","orijinal_dogu","9968","GORYEO_TAEBAEK_MOUNTAINS","10004","Pongyin Co","9968","GORYEO_TAEBAEK_MOUNTAINS","178,192,2","1,5,83","source_semantic_auto_decision","Navigable water tarafi korunur, impassable taraf recolor olur."
